hours_studied,attendance,assignments_completed,previous_score,sleep_hours,internet_access,final_score
2.5,68,8,55,5.5,No,58
3.0,72,10,60,6.0,Yes,63
4.5,80,14,70,6.5,Yes,74
5.0,85,16,75,7.0,Yes,79
6.5,92,18,82,7.5,Yes,87
7.0,95,20,88,8.0,Yes,92
1.5,60,6,48,5.0,No,50
2.0,65,7,52,5.5,No,54
3.5,75,12,65,6.5,Yes,69
4.0,78,13,68,6.5,Yes,72
5.5,88,17,80,7.0,Yes,84
6.0,90,18,83,7.5,Yes,86
7.5,96,20,91,8.0,Yes,95
8.0,98,20,94,8.5,Yes,98
2.8,70,9,58,6.0,No,61
3.8,77,13,67,6.5,Yes,71
4.8,82,15,73,7.0,Yes,77
5.8,89,18,81,7.5,Yes,85
6.8,93,19,86,8.0,Yes,90
1.8,62,6,50,5.5,No,52
2.2,67,8,54,5.5,No,56
3.2,74,11,63,6.0,Yes,66
4.2,79,14,69,6.5,Yes,73
5.2,86,16,77,7.0,Yes,81
6.2,91,18,84,7.5,Yes,88
7.2,97,20,90,8.0,Yes,94
3.6,76,12,66,6.5,Yes,70
4.6,81,15,72,7.0,Yes,76
5.6,87,17,79,7.5,Yes,83
6.6,94,19,87,8.0,Yes,91
